净值日期,单位净值
2019-09-24 16:00:00,1.108
2019-09-25 16:00:00,1.104
2019-09-26 16:00:00,1.106
2019-09-29 16:00:00,1.097
2019-10-07 16:00:00,1.1
2019-10-08 16:00:00,1.104
2019-10-09 16:00:00,1.12
2019-10-10 16:00:00,1.129
2019-10-13 16:00:00,1.138
2019-10-14 16:00:00,1.136
2019-10-15 16:00:00,1.131
2019-10-16 16:00:00,1.143
2019-10-17 16:00:00,1.133
2019-10-20 16:00:00,1.13
2019-10-21 16:00:00,1.137
2019-10-22 16:00:00,1.126
2019-10-23 16:00:00,1.121
2019-10-24 16:00:00,1.133
2019-10-27 16:00:00,1.143
2019-10-28 16:00:00,1.145
2019-10-29 16:00:00,1.142
2019-10-30 16:00:00,1.143
2019-10-31 16:00:00,1.156
2019-11-03 16:00:00,1.167
2019-11-04 16:00:00,1.176
2019-11-05 16:00:00,1.173
2019-11-06 16:00:00,1.175
2019-11-07 16:00:00,1.174
2019-11-10 16:00:00,1.157
2019-11-11 16:00:00,1.158
2019-11-12 16:00:00,1.171
2019-11-13 16:00:00,1.174
2019-11-14 16:00:00,1.169
2019-11-17 16:00:00,1.182
2019-11-18 16:00:00,1.198
2019-11-19 16:00:00,1.196
2019-11-20 16:00:00,1.187
2019-11-21 16:00:00,1.157
2019-11-24 16:00:00,1.157
2019-11-25 16:00:00,1.164
2019-11-26 16:00:00,1.162
2019-11-27 16:00:00,1.158
2019-11-28 16:00:00,1.14
2019-12-01 16:00:00,1.139
2019-12-02 16:00:00,1.14
2019-12-03 16:00:00,1.142
2019-12-04 16:00:00,1.15
2019-12-05 16:00:00,1.163
2019-12-08 16:00:00,1.158
2019-12-09 16:00:00,1.164
2019-12-10 16:00:00,1.164
2019-12-11 16:00:00,1.16
2019-12-12 16:00:00,1.179
2019-12-15 16:00:00,1.177
2019-12-16 16:00:00,1.185
2019-12-17 16:00:00,1.182
2019-12-18 16:00:00,1.175
2019-12-19 16:00:00,1.174
2019-12-22 16:00:00,1.165
2019-12-23 16:00:00,1.173
2019-12-24 16:00:00,1.17
2019-12-25 16:00:00,1.181
2019-12-26 16:00:00,1.182
2019-12-29 16:00:00,1.198
2019-12-30 16:00:00,1.205
2020-01-01 16:00:00,1.212
2020-01-02 16:00:00,1.201
2020-01-05 16:00:00,1.199
2020-01-06 16:00:00,1.212
2020-01-07 16:00:00,1.202
2020-01-08 16:00:00,1.229
2020-01-09 16:00:00,1.234
2020-01-12 16:00:00,1.243
2020-01-13 16:00:00,1.234
2020-01-14 16:00:00,1.239
2020-01-15 16:00:00,1.24
2020-01-16 16:00:00,1.247
2020-01-19 16:00:00,1.253
2020-01-20 16:00:00,1.234
2020-01-21 16:00:00,1.254
2020-01-22 16:00:00,1.225
2020-02-02 16:00:00,1.145
2020-02-03 16:00:00,1.197
2020-02-04 16:00:00,1.217
2020-02-05 16:00:00,1.236
2020-02-06 16:00:00,1.242
2020-02-09 16:00:00,1.242
2020-02-10 16:00:00,1.251
2020-02-11 16:00:00,1.26
2020-02-12 16:00:00,1.249
2020-02-13 16:00:00,1.251
2020-02-16 16:00:00,1.275
2020-02-17 16:00:00,1.273
2020-02-18 16:00:00,1.27
2020-02-19 16:00:00,1.294
2020-02-20 16:00:00,1.295
2020-02-23 16:00:00,1.293
2020-02-24 16:00:00,1.291
2020-02-25 16:00:00,1.257
2020-02-26 16:00:00,1.266
2020-02-27 16:00:00,1.238
2020-03-01 16:00:00,1.272
2020-03-02 16:00:00,1.292
2020-03-03 16:00:00,1.286
2020-03-04 16:00:00,1.307
2020-03-05 16:00:00,1.292
2020-03-08 16:00:00,1.241
2020-03-09 16:00:00,1.27
2020-03-10 16:00:00,1.252
2020-03-11 16:00:00,1.23
2020-03-12 16:00:00,1.221
2020-03-15 16:00:00,1.174
2020-03-16 16:00:00,1.171
2020-03-17 16:00:00,1.159
2020-03-18 16:00:00,1.149
2020-03-19 16:00:00,1.174
2020-03-22 16:00:00,1.143
2020-03-23 16:00:00,1.169
2020-03-24 16:00:00,1.202
2020-03-25 16:00:00,1.207
2020-03-26 16:00:00,1.204
2020-03-29 16:00:00,1.183
2020-03-30 16:00:00,1.198
2020-03-31 16:00:00,1.185
2020-04-01 16:00:00,1.201
2020-04-02 16:00:00,1.207
2020-04-06 16:00:00,1.237
2020-04-07 16:00:00,1.236
2020-04-08 16:00:00,1.255
2020-04-09 16:00:00,1.243
2020-04-12 16:00:00,1.239
2020-04-13 16:00:00,1.265
2020-04-14 16:00:00,1.256
2020-04-15 16:00:00,1.26
2020-04-16 16:00:00,1.261
2020-04-19 16:00:00,1.272
2020-04-20 16:00:00,1.262
2020-04-21 16:00:00,1.283
2020-04-22 16:00:00,1.285
2020-04-23 16:00:00,1.281
2020-04-26 16:00:00,1.289
2020-04-27 16:00:00,1.305
2020-04-28 16:00:00,1.3
2020-04-29 16:00:00,1.306
2020-05-05 16:00:00,1.322
2020-05-06 16:00:00,1.334
2020-05-07 16:00:00,1.347
2020-05-10 16:00:00,1.342
2020-05-11 16:00:00,1.363
2020-05-12 16:00:00,1.379
2020-05-13 16:00:00,1.37
2020-05-14 16:00:00,1.361
2020-05-17 16:00:00,1.373
2020-05-18 16:00:00,1.391
2020-05-19 16:00:00,1.377
2020-05-20 16:00:00,1.391
2020-05-21 16:00:00,1.357
2020-05-24 16:00:00,1.372
2020-05-25 16:00:00,1.396
2020-05-26 16:00:00,1.378
2020-05-27 16:00:00,1.375
2020-05-28 16:00:00,1.395
2020-05-31 16:00:00,1.422
2020-06-01 16:00:00,1.399
2020-06-02 16:00:00,1.404
2020-06-03 16:00:00,1.416
2020-06-04 16:00:00,1.424
2020-06-07 16:00:00,1.418
2020-06-08 16:00:00,1.438
2020-06-09 16:00:00,1.449
2020-06-10 16:00:00,1.428
2020-06-11 16:00:00,1.442
2020-06-14 16:00:00,1.424
2020-06-15 16:00:00,1.455
2020-06-16 16:00:00,1.455
2020-06-17 16:00:00,1.455
2020-06-18 16:00:00,1.498
2020-06-21 16:00:00,1.494
2020-06-22 16:00:00,1.521
2020-06-23 16:00:00,1.517
2020-06-28 16:00:00,1.515
2020-06-29 16:00:00,1.545
2020-06-30 16:00:00,1.559
2020-07-01 16:00:00,1.559
2020-07-02 16:00:00,1.567
2020-07-05 16:00:00,1.59
2020-07-06 16:00:00,1.617
2020-07-07 16:00:00,1.635
2020-07-08 16:00:00,1.664
2020-07-09 16:00:00,1.669
2020-07-12 16:00:00,1.719
2020-07-13 16:00:00,1.71
2020-07-14 16:00:00,1.733
2020-07-15 16:00:00,1.624
2020-07-16 16:00:00,1.657
2020-07-19 16:00:00,1.654
2020-07-20 16:00:00,1.689
2020-07-21 16:00:00,1.717
2020-07-22 16:00:00,1.734
2020-07-23 16:00:00,1.638
2020-07-26 16:00:00,1.652
2020-07-27 16:00:00,1.684
2020-07-28 16:00:00,1.715
2020-07-29 16:00:00,1.709
2020-07-30 16:00:00,1.734
2020-08-02 16:00:00,1.754
2020-08-03 16:00:00,1.739
2020-08-04 16:00:00,1.757
2020-08-05 16:00:00,1.734
2020-08-06 16:00:00,1.711
2020-08-09 16:00:00,1.706
2020-08-10 16:00:00,1.703
2020-08-11 16:00:00,1.681
2020-08-12 16:00:00,1.678
2020-08-13 16:00:00,1.703
2020-08-16 16:00:00,1.71
2020-08-17 16:00:00,1.727
2020-08-18 16:00:00,1.694
2020-08-19 16:00:00,1.68
2020-08-20 16:00:00,1.71
2020-08-23 16:00:00,1.734
2020-08-24 16:00:00,1.753
2020-08-25 16:00:00,1.736
2020-08-26 16:00:00,1.751
2020-08-27 16:00:00,1.793
2020-08-30 16:00:00,1.786
2020-08-31 16:00:00,1.789
2020-09-01 16:00:00,1.788
2020-09-02 16:00:00,1.78
2020-09-03 16:00:00,1.75
2020-09-06 16:00:00,1.699
2020-09-07 16:00:00,1.689
2020-09-08 16:00:00,1.646
2020-09-09 16:00:00,1.665
2020-09-10 16:00:00,1.693
2020-09-13 16:00:00,1.712
2020-09-14 16:00:00,1.721
2020-09-15 16:00:00,1.694
2020-09-16 16:00:00,1.671
2020-09-17 16:00:00,1.695
2020-09-20 16:00:00,1.673
2020-09-21 16:00:00,1.673
2020-09-22 16:00:00,1.685
2020-09-23 16:00:00,1.663
2020-09-24 16:00:00,1.668
2020-09-27 16:00:00,1.673
2020-09-28 16:00:00,1.682
2020-09-29 16:00:00,1.699
2020-10-08 16:00:00,1.719
2020-10-11 16:00:00,1.759
2020-10-12 16:00:00,1.765
2020-10-13 16:00:00,1.755
2020-10-14 16:00:00,1.739
2020-10-15 16:00:00,1.729
2020-10-18 16:00:00,1.712
2020-10-19 16:00:00,1.731
2020-10-20 16:00:00,1.721
2020-10-21 16:00:00,1.718
2020-10-22 16:00:00,1.694
2020-10-25 16:00:00,1.695
2020-10-26 16:00:00,1.708
2020-10-27 16:00:00,1.74
2020-10-28 16:00:00,1.765
2020-10-29 16:00:00,1.74
2020-11-01 16:00:00,1.748
2020-11-02 16:00:00,1.761
2020-11-03 16:00:00,1.777
2020-11-04 16:00:00,1.789
2020-11-05 16:00:00,1.775
2020-11-08 16:00:00,1.803
2020-11-09 16:00:00,1.784
2020-11-10 16:00:00,1.759
2020-11-11 16:00:00,1.775
2020-11-12 16:00:00,1.762
2020-11-15 16:00:00,1.771
2020-11-16 16:00:00,1.747
2020-11-17 16:00:00,1.723
2020-11-18 16:00:00,1.75
2020-11-19 16:00:00,1.759
2020-11-22 16:00:00,1.764
2020-11-23 16:00:00,1.755
2020-11-24 16:00:00,1.716
2020-11-25 16:00:00,1.726
2020-11-26 16:00:00,1.744
2020-11-29 16:00:00,1.725
2020-11-30 16:00:00,1.751
2020-12-01 16:00:00,1.749
2020-12-02 16:00:00,1.756
2020-12-03 16:00:00,1.774
2020-12-06 16:00:00,1.776
2020-12-07 16:00:00,1.782
2020-12-08 16:00:00,1.754
2020-12-09 16:00:00,1.762
2020-12-10 16:00:00,1.755
2020-12-13 16:00:00,1.781
2020-12-14 16:00:00,1.791
2020-12-15 16:00:00,1.802
2020-12-16 16:00:00,1.82
2020-12-17 16:00:00,1.808
2020-12-20 16:00:00,1.841
2020-12-21 16:00:00,1.833
2020-12-22 16:00:00,1.849
2020-12-23 16:00:00,1.843
2020-12-24 16:00:00,1.877
2020-12-27 16:00:00,1.874
2020-12-28 16:00:00,1.863
2020-12-29 16:00:00,1.907
2020-12-30 16:00:00,1.947
2021-01-03 16:00:00,1.97
2021-01-04 16:00:00,2.01
2021-01-05 16:00:00,2.016
2021-01-06 16:00:00,2.049
2021-01-07 16:00:00,2.011
2021-01-10 16:00:00,1.999
2021-01-11 16:00:00,2.038
2021-01-12 16:00:00,2.005
2021-01-13 16:00:00,1.964
2021-01-14 16:00:00,1.955
2021-01-17 16:00:00,1.94
2021-01-18 16:00:00,1.915
2021-01-19 16:00:00,1.943
2021-01-20 16:00:00,1.974
2021-01-21 16:00:00,1.996
2021-01-24 16:00:00,2.046
